state,fatal,serious,minor,total_cases,number_injured,number_killed,total_casuality,people_involved,year,quarter
Abia,10,19,1,30,146,31,177,279,2020,Q4
Adamawa,14,63,0,77,234,36,270,443,2020,Q4
Akwa Ibom,6,13,3,22,28,7,35,89,2020,Q4
Anambra,14,41,17,72,152,20,172,526,2020,Q4
Bauchi,45,108,1,154,685,90,775,1182,2020,Q4
Bayelsa,0,1,0,1,3,0,3,3,2020,Q4
Benue,10,43,24,77,177,25,202,254,2020,Q4
Borno,8,17,0,25,67,16,83,118,2020,Q4
Cross River,9,19,5,33,65,11,76,164,2020,Q4
Delta,25,36,6,67,182,36,218,407,2020,Q4
Ebonyi,10,16,1,27,82,11,93,200,2020,Q4
Edo,20,29,6,55,118,32,150,311,2020,Q4
Ekiti,8,20,2,30,71,9,80,185,2020,Q4
Enugu,9,24,11,44,116,30,146,387,2020,Q4
FCT,71,182,59,312,572,90,662,1543,2020,Q4
Gombe,18,50,2,70,231,26,257,459,2020,Q4
Imo,9,20,2,31,91,15,106,230,2020,Q4
Jigawa,27,61,4,92,318,64,382,628,2020,Q4
Kaduna,93,175,13,281,1010,224,1234,2234,2020,Q4
Kano,54,46,2,102,499,194,693,1013,2020,Q4
Katsina,19,54,4,77,277,39,316,421,2020,Q4
Kebbi,21,33,4,58,222,56,278,387,2020,Q4
Kogi,23,82,17,122,335,55,390,851,2020,Q4
Kwara,26,64,12,102,313,60,373,694,2020,Q4
Lagos,14,61,38,113,181,21,202,602,2020,Q4
Nasarawa,42,112,46,200,513,65,578,961,2020,Q4
Niger,27,80,3,110,347,91,438,653,2020,Q4
Ogun,59,160,60,279,548,83,631,1678,2020,Q4
Ondo,49,56,9,114,320,84,404,899,2020,Q4
Osun,34,65,10,109,292,52,344,711,2020,Q4
Oyo,41,89,25,155,385,68,453,1120,2020,Q4
Plateau,8,20,17,45,123,17,140,255,2020,Q4
Rivers,3,18,4,25,77,6,83,194,2020,Q4
Sokoto,12,20,0,32,138,47,185,228,2020,Q4
Taraba,5,53,1,59,149,7,156,284,2020,Q4
Yobe,24,30,2,56,383,60,443,602,2020,Q4
Zamfara,18,37,0,55,252,40,292,475,2020,Q4
Abia,16,23,5,44,119,35,154,289,2021,Q1
Adamawa,11,73,0,84,251,21,272,437,2021,Q1
Akwa Ibom,7,12,3,22,35,12,47,117,2021,Q1
Anambra,9,55,16,80,147,9,156,575,2021,Q1
Bauchi,52,78,1,131,634,115,749,1138,2021,Q1
Bayelsa,0,6,1,7,15,0,15,29,2021,Q1
Benue,10,27,15,52,123,15,138,187,2021,Q1
Borno,8,23,0,31,78,24,102,149,2021,Q1
Cross River,12,13,0,25,50,30,80,135,2021,Q1
Delta,21,39,11,71,196,51,247,482,2021,Q1
Ebonyi,10,19,2,31,121,27,148,274,2021,Q1
Edo,20,30,6,56,140,51,191,386,2021,Q1
Ekiti,10,19,2,31,101,13,114,175,2021,Q1
Enugu,24,36,6,66,222,37,259,505,2021,Q1
FCT,41,177,60,278,518,56,574,1289,2021,Q1
Gombe,11,59,2,72,232,31,263,388,2021,Q1
Imo,7,7,2,16,71,17,88,116,2021,Q1
